pickup_community_area,hour,demand,assigned_taxis,served_trips,unmet_trips
10,19,2.192,2,2.192,0.0
10,20,2.119,2,2.119,0.0
10,21,2.04,2,2.04,0.0
10,22,2.074,2,2.074,0.0
10,23,1.754,1,1.754,0.0
11,0,1.306,1,1.306,0.0
11,1,1.311,1,1.311,0.0
11,2,1.272,1,1.272,0.0
11,3,1.176,1,1.176,0.0
11,4,1.204,1,1.204,0.0
11,5,1.299,1,1.299,0.0
11,6,1.55,1,1.55,0.0
11,7,1.797,1,1.797,0.0
11,8,1.711,1,1.711,0.0
11,9,1.849,1,1.849,0.0
11,10,2.018,2,2.018,0.0
11,11,1.895,1,1.895,0.0
11,12,2.072,2,2.072,0.0
11,13,2.106,2,2.106,0.0
11,14,2.032,2,2.032,0.0
11,15,1.915,1,1.915,0.0
11,16,1.671,1,1.671,0.0
11,17,1.703,1,1.703,0.0
11,18,1.548,1,1.548,0.0
11,19,1.604,1,1.604,0.0
11,20,1.448,1,1.448,0.0
11,21,1.459,1,1.459,0.0
11,22,1.515,1,1.515,0.0
11,23,1.448,1,1.448,0.0
12,0,1.199,1,1.199,0.0
12,1,1.191,1,1.191,0.0
12,2,1.106,1,1.106,0.0
12,3,1.1,1,1.1,0.0
12,4,1.125,1,1.125,0.0
12,5,1.29,1,1.29,0.0
12,6,1.919,1,1.919,0.0
12,7,2.145,2,2.145,0.0
12,8,1.832,1,1.832,0.0
12,9,2.072,2,2.072,0.0
12,10,2.193,2,2.193,0.0
12,11,2.098,2,2.098,0.0
12,12,2.103,2,2.103,0.0
12,13,2.106,2,2.106,0.0
12,14,2.438,2,2.438,0.0
12,15,2.028,2,2.028,0.0
12,16,1.857,1,1.857,0.0
12,17,1.645,1,1.645,0.0
12,18,1.619,1,1.619,0.0
12,19,1.627,1,1.627,0.0
12,20,1.566,1,1.566,0.0
12,21,1.518,1,1.518,0.0
12,22,1.677,1,1.677,0.0
12,23,1.33,1,1.33,0.0
13,0,1.105,1,1.105,0.0
13,1,1.094,1,1.094,0.0
13,2,1.039,1,1.039,0.0
13,3,1.128,1,1.128,0.0
13,4,1.13,1,1.13,0.0
13,5,1.229,1,1.229,0.0
13,6,1.4,1,1.4,0.0
13,7,1.784,1,1.784,0.0
13,8,1.85,1,1.85,0.0
13,9,1.835,1,1.835,0.0
13,10,2.418,2,2.418,0.0
13,11,2.572,2,2.572,0.0
13,12,2.633,2,2.633,0.0
13,13,2.527,2,2.527,0.0
13,14,2.785,2,2.785,0.0
13,15,2.541,2,2.541,0.0
13,16,2.317,2,2.317,0.0
13,17,1.794,1,1.794,0.0
13,18,1.514,1,1.514,0.0
13,19,1.466,1,1.466,0.0
13,20,1.407,1,1.407,0.0
13,21,1.37,1,1.37,0.0
13,22,1.304,1,1.304,0.0
13,23,1.251,1,1.251,0.0
14,0,1.286,1,1.286,0.0
14,1,1.176,1,1.176,0.0
14,2,1.152,1,1.152,0.0
14,3,1.177,1,1.177,0.0
14,4,1.226,1,1.226,0.0
14,5,1.311,1,1.311,0.0
14,6,1.832,1,1.832,0.0
14,7,2.241,2,2.241,0.0
14,8,2.171,2,2.171,0.0
14,9,2.482,2,2.482,0.0
14,10,2.732,2,2.732,0.0
14,11,2.64,2,2.64,0.0
14,12,2.635,2,2.635,0.0
14,13,2.474,2,2.474,0.0
14,14,2.686,2,2.686,0.0
14,15,2.406,2,2.406,0.0
14,16,1.982,1,1.982,0.0
14,17,2.002,2,2.002,0.0
14,18,1.842,1,1.842,0.0
14,19,1.791,1,1.791,0.0
14,20,1.656,1,1.656,0.0
14,21,1.539,1,1.539,0.0
14,22,1.602,1,1.602,0.0
14,23,1.478,1,1.478,0.0
15,0,1.223,1,1.223,0.0
15,1,1.193,1,1.193,0.0
15,2,1.177,1,1.177,0.0
15,3,1.173,1,1.173,0.0
15,4,1.162,1,1.162,0.0
15,5,1.429,1,1.429,0.0
15,6,1.386,1,1.386,0.0
15,7,1.445,1,1.445,0.0
15,8,1.665,1,1.665,0.0
15,9,2.48,2,2.48,0.0
15,10,2.59,2,2.59,0.0
15,11,3.135,2,3.135,0.0
15,12,3.153,2,3.153,0.0
15,13,2.873,2,2.873,0.0
15,14,3.451,2,3.451,0.0
15,15,2.441,2,2.441,0.0
15,16,2.436,2,2.436,0.0
15,17,1.998,1,1.998,0.0
15,18,1.759,1,1.759,0.0
15,19,1.841,1,1.841,0.0
15,20,1.38,1,1.38,0.0
15,21,1.478,1,1.478,0.0
15,22,1.305,1,1.305,0.0
15,23,1.273,1,1.273,0.0
16,0,1.526,1,1.526,0.0
16,1,1.491,1,1.491,0.0
16,2,1.329,1,1.329,0.0
16,3,1.467,1,1.467,0.0
16,4,1.534,1,1.534,0.0
16,5,1.945,1,1.945,0.0
16,6,2.796,2,2.796,0.0
16,7,2.417,2,2.417,0.0
16,8,2.866,2,2.866,0.0
16,9,3.978,2,3.978,0.0
16,10,5.615,3,5.615,0.0
16,11,6.744,4,6.744,0.0
16,12,7.269,4,7.269,0.0
16,13,7.261,4,7.261,0.0
16,14,7.14,4,7.14,0.0
16,15,5.669,3,5.669,0.0
16,16,5.168,3,5.168,0.0
16,17,4.019,3,4.019,0.0
16,18,3.285,2,3.285,0.0
16,19,3.051,2,3.051,0.0
16,20,2.425,2,2.425,0.0
16,21,2.175,2,2.175,0.0
16,22,2.069,2,2.069,0.0
16,23,1.699,1,1.699,0.0
17,0,1.122,1,1.122,0.0
17,1,1.083,1,1.083,0.0
17,2,1.097,1,1.097,0.0
17,3,1.118,1,1.118,0.0
17,4,1.024,1,1.024,0.0
17,5,1.284,1,1.284,0.0
17,6,1.242,1,1.242,0.0
17,7,1.41,1,1.41,0.0
17,8,1.314,1,1.314,0.0
17,9,1.462,1,1.462,0.0
17,10,1.253,1,1.253,0.0
17,11,1.276,1,1.276,0.0
17,12,1.369,1,1.369,0.0
17,13,1.307,1,1.307,0.0
17,14,1.342,1,1.342,0.0
17,15,1.306,1,1.306,0.0
17,16,1.289,1,1.289,0.0
17,17,1.204,1,1.204,0.0
17,18,1.14,1,1.14,0.0
17,19,1.17,1,1.17,0.0
17,20,1.156,1,1.156,0.0
17,21,1.156,1,1.156,0.0
17,22,1.215,1,1.215,0.0
17,23,1.171,1,1.171,0.0
18,0,1.0,1,1.0,0.0
18,1,1.0,1,1.0,0.0
18,2,1.0,1,1.0,0.0
18,3,1.0,1,1.0,0.0
18,4,1.0,1,1.0,0.0
18,5,1.062,1,1.062,0.0
18,6,1.049,1,1.049,0.0
18,7,1.118,1,1.118,0.0
18,8,1.113,1,1.113,0.0
18,9,1.114,1,1.114,0.0
18,10,1.084,1,1.084,0.0
18,11,1.069,1,1.069,0.0
18,12,1.09,1,1.09,0.0
18,13,1.117,1,1.117,0.0
18,14,1.091,1,1.091,0.0
18,15,1.213,1,1.213,0.0
18,16,1.097,1,1.097,0.0
18,17,1.074,1,1.074,0.0
18,18,1.081,1,1.081,0.0
18,19,1.118,1,1.118,0.0
18,20,1.071,1,1.071,0.0
18,21,1.0,1,1.0,0.0
18,22,1.111,1,1.111,0.0
18,23,1.095,1,1.095,0.0
19,0,1.177,1,1.177,0.0
19,1,1.138,1,1.138,0.0
19,2,1.078,1,1.078,0.0
19,3,1.14,1,1.14,0.0
19,4,1.032,1,1.032,0.0
19,5,1.153,1,1.153,0.0
19,6,1.325,1,1.325,0.0
19,7,1.532,1,1.532,0.0
19,8,1.423,1,1.423,0.0
