pickup_community_area,hour,demand
75,19,1.823
75,20,1.674
75,21,1.544
75,22,1.446
75,23,1.359
76,0,115.305
76,1,60.119
76,2,22.039
76,3,9.702
76,4,9.747
76,5,27.122
76,6,39.731
76,7,58.241
76,8,96.294
76,9,150.199
76,10,155.96
76,11,164.097
76,12,190.066
76,13,234.218
76,14,245.426
76,15,248.66
76,16,230.548
76,17,271.642
76,18,270.782
76,19,312.442
76,20,313.031
76,21,234.194
76,22,164.682
76,23,130.861
77,0,2.521
77,1,1.922
77,2,1.7
77,3,1.659
77,4,2.247
77,5,4.546
77,6,7.828
77,7,12.108
77,8,15.375
77,9,17.329
77,10,17.444
77,11,16.945
77,12,16.42
77,13,15.797
77,14,14.982
77,15,13.19
77,16,12.048
77,17,9.74
77,18,8.249
77,19,6.897
77,20,5.628
77,21,5.1
77,22,3.902
77,23,3.38
